site_id,site_name,site_type,agency,state,latitude,longitude,first_date_data_available,last_date_data_available,record_count,site_query_url,date_metadata_last_updated,tz_cd,doi,huc8,conus1_i,conus1_j,conus2_i,conus2_j,usda_elevation
642:WA:SNTL,Morse Lake,SNOTEL station,NRCS,WA,46.90585,-121.4827,1978-10-01,2026-01-24,17283,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17030002,,,439.0,2683.0,5410.0
643:UT:SNTL,Mosby Mtn.,SNOTEL station,NRCS,UT,40.60798,-109.8881,1978-10-01,2026-01-24,17283,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14060010,720.0,871.0,1158.0,1819.0,9553.0
989:ID:SNTL,Moscow Mountain,SNOTEL station,NRCS,ID,46.805,-116.8535,2000-10-01,2026-01-24,9247,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17060306,300.0,1652.0,763.0,2580.0,4700.0
644:WA:SNTL,Moses Mtn,SNOTEL station,NRCS,WA,48.36163,-119.08159,1991-10-01,2026-01-24,12535,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17020006,178.0,1861.0,651.0,2783.0,5010.0
645:ID:SNTL,Mosquito Ridge,SNOTEL station,NRCS,ID,48.05726,-116.23055,1981-10-01,2026-01-24,16185,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17010301,378.0,1778.0,840.0,2700.0,5260.0
646:MT:SNTL,Moss Peak,SNOTEL station,NRCS,MT,47.68493,-113.9623,1985-10-01,2026-01-24,14726,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17010208,536.0,1701.0,990.0,2624.0,6780.0
647:OR:SNTL,Moss Springs,SNOTEL station,NRCS,OR,45.27173,-117.68747,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17060104,198.0,1501.0,662.0,2436.0,5760.0
648:WA:SNTL,Mount Crag,SNOTEL station,NRCS,WA,47.7637,-123.026,1989-10-01,2026-01-24,13265,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17110018,,,361.0,2806.0,3960.0
898:WA:SNTL,Mount Gardner,SNOTEL station,NRCS,WA,47.35768,-121.56812,1993-10-01,2026-01-24,11804,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17110012,,,448.0,2732.0,2920.0
649:MT:SNTL,Mount Lockhart,SNOTEL station,NRCS,MT,47.91727,-112.8238,1968-10-01,2026-01-24,20935,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,10030205,626.0,1711.0,1075.0,2632.0,6400.0
650:ID:SNTL,Mountain Meadows,SNOTEL station,NRCS,ID,45.69694,-115.22972,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17060302,396.0,1504.0,852.0,2436.0,6320.0
941:WA:SNTL,Mowich,SNOTEL station,NRCS,WA,46.92833,-121.95232,1998-10-01,2025-12-23,9946,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17110014,,,407.0,2696.0,3160.0
1224:UT:SNTL,Mt Baldy,SNOTEL station,NRCS,UT,39.13648,-111.50527,2012-10-01,2026-01-24,4864,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,16030004,558.0,733.0,999.0,1685.0,9524.0
651:OR:SNTL,Mt Hood Test Site,SNOTEL station,NRCS,OR,45.32097,-121.7158,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17080001,,,371.0,2526.0,5370.0
1269:UT:SNTL,Mt Pennell,SNOTEL station,NRCS,UT,37.97793,-110.7933,2015-08-19,2026-01-24,3812,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14070001,597.0,597.0,1036.0,1551.0,9209.0
652:NV:SNTL,Mt Rose Ski Area,SNOTEL station,NRCS,NV,39.31573,-119.89473,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,16050102,,,320.0,1866.0,8801.0
653:OR:SNTL,Mt. Howard,SNOTEL station,NRCS,OR,45.26522,-117.17373,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17060105,237.0,1491.0,699.0,2426.0,7910.0
1126:WA:SNTL,Mt. Tebo,SNOTEL station,NRCS,WA,47.46061,-123.41219,2020-08-19,2026-01-20,1981,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17110017,,,324.0,2784.0,3384.0
1259:WA:SNTL,Muckamuck,SNOTEL station,NRCS,WA,48.58526,-119.86624,2014-06-12,2026-01-24,4245,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17020006,,,603.0,2822.0,4470.0
