site_id,site_name,state,latitude,longitude,elevation_m,temp_bias_c,prec_total_bias_pct
555:WY:SNTL,Kendall R.S.,WY,43.2493,-110.01662,2359.152,-0.5140682367147208,-25.335604004273332
560:WY:SNTL,Kirwin,WY,43.86067,-109.32163,2910.84,-0.8477569719177853,-70.42758728864071
571:WY:SNTL,Laprele Creek,WY,42.43566,-105.86051,2557.272,0.8798718026422995,-68.17600476411036
585:WY:SNTL,Little Warm,WY,43.50278,-109.752,2855.976,-0.3695385323983789,-59.66201300924341
597:WY:SNTL,Loomis Park,WY,43.17387,-110.14007,2511.552,-0.349439360093842,-24.92505260371865
616:WY:SNTL,Marquette,WY,44.3016,-109.24019,2670.048,-0.4675039195490643,-77.1480742955911
625:WY:SNTL,Middle Powder,WY,43.62728,-107.18138,2365.248,-0.1195449254782882,-44.032224409448816
661:WY:SNTL,New Fork Lake,WY,43.11265,-109.94947,2542.032,-0.724191184056754,-19.308192888932357
676:WY:SNTL,Owl Creek,WY,43.65868,-109.00988,2735.58,-0.0189721833241782,-44.82856039221512
683:WY:SNTL,Parker Peak,WY,44.73396,-109.91484,2865.1200000000003,-0.317388939732854,-81.91668401914876
689:WY:SNTL,Phillips Bench,WY,43.51687,-110.91258,2499.36,-0.6111618170959022,-23.219290406746484
703:WY:SNTL,Powder River Pass,WY,44.16188,-107.12622,2889.5040000000004,-0.4481784517362783,-67.33846539057095
716:WY:SNTL,Reno Hill,WY,42.57089,-106.08969,2569.464,0.7955809750114695,-71.0176957361462
1015:WY:SNTL,Sage Creek Basin,WY,41.40107,-107.2574,2392.6800000000003,0.0026162545719403,-28.937917038720684
730:WY:SNTL,Salt River Summit,WY,42.5075,-110.9099,2328.672,-0.5736355748173287,-15.176938397406198
731:WY:SNTL,Sand Lake,WY,41.4625,-106.281,3077.8704,0.240397143877433,-89.01319942150089
732:WY:SNTL,Sandstone RS,WY,41.11179,-107.17043,2484.7296,0.2799548640602328,-16.999238664132495
751:WY:SNTL,Shell Creek,WY,44.50012,-107.42947,2919.984,0.1253632156176025,-64.09212598425196
764:WY:SNTL,Snake River Station,WY,44.13361,-110.66917,2109.216,,-14.568395669291316
